Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;
3513207;Interior;Cristais Paulista;94;1;;
3513306;Interior;Cruzália;24;0;;
3513405;Interior;Cruzeiro;987;36;;
3513504;Interior;Cubatão;7791;220;;
3513603;Interior;Cunha;172;2;;
3513702;Interior;Descalvado;713;7;;
3513801;RMSP (exceto capital);Diadema;10493;454;;
3513850;Interior;Dirce Reis;21;0;;
3513900;Interior;Divinolândia;164;6;;
3514007;Interior;Dobrada;188;2;;
3514106;Interior;Dois Córregos;375;4;;
3514205;Interior;Dolcinópolis;79;5;;
3514304;Interior;Dourado;191;3;;
3514403;Interior;Dracena;1201;33;;
3514502;Interior;Duartina;285;5;;
3514601;Interior;Dumont;554;5;;
3514700;Interior;Echaporã;46;1;;
3514809;Interior;Eldorado;489;7;;
3514908;Interior;Elias Fausto;659;18;;
3514924;Interior;Elisiário;180;4;;
3514957;Interior;Embaúba;59;1;;
3515004;RMSP (exceto capital);Embu das Artes;4249;197;;
3515103;RMSP (exceto capital);Embu-Guaçu;1496;50;;
3515129;Interior;Emilianópolis;98;2;;
3515152;Interior;Engenheiro Coelho;921;22;;
3515186;Interior;Espírito Santo do Pinhal;1087;24;;
3515194;Interior;Espírito Santo do Turvo;56;1;;
3515202;Interior;Estrela d'Oeste;562;15;;
3515301;Interior;Estrela do Norte;69;2;;
3515350;Interior;Euclides da Cunha Paulista;49;3;;
3515400;Interior;Fartura;193;1;;
3515509;Interior;Fernandópolis;3633;65;;
3515608;Interior;Fernando Prestes;153;3;;
3515657;Interior;Fernão;34;0;;
3515707;RMSP (exceto capital);Ferraz de Vasconcelos;4896;147;;
3515806;Interior;Flora Rica;51;1;;
3515905;Interior;Floreal;52;1;;
3516002;Interior;Flórida Paulista;68;1;;
3516101;Interior;Florínea;38;1;;
3516200;Interior;Franca;7157;216;;
3516309;RMSP (exceto capital);Francisco Morato;3439;141;;
3516408;RMSP (exceto capital);Franco da Rocha;3257;134;;
3516507;Interior;Gabriel Monteiro;54;4;;
3516606;Interior;Gália;87;4;;
3516705;Interior;Garça;829;21;;
3516804;Interior;Gastão Vidigal;84;12;;
3516853;Interior;Gavião Peixoto;270;1;;
3516903;Interior;General Salgado;308;3;;
3517000;Interior;Getulina;305;4;;
3517109;Interior;Glicério;96;2;;
3517208;Interior;Guaiçara;574;6;;
3517307;Interior;Guaimbê;76;3;;
3517406;Interior;Guaíra;1625;48;;
3517505;Interior;Guapiaçu;1088;30;;
3517604;Interior;Guapiara;228;10;;
3517703;Interior;Guará;601;25;;
3517802;Interior;Guaraçaí;95;1;;
3517901;Interior;Guaraci;272;5;;
3518008;Interior;Guarani d'Oeste;59;0;;
3518107;Interior;Guarantã;152;2;;
3518206;Interior;Guararapes;801;12;;
3518305;RMSP (exceto capital);Guararema;582;33;;
3518404;Interior;Guaratinguetá;2026;55;;
3518503;Interior;Guareí;2001;7;;
3518602;Interior;Guariba;1320;35;;
3518701;Interior;Guarujá;10188;438;;
3518800;RMSP (exceto capital);Guarulhos;26119;1639;;
3518859;Interior;Guatapará;136;4;;
3518909;Interior;Guzolândia;88;4;;
3519006;Interior;Herculândia;97;7;;
3519055;Interior;Holambra;487;3;;
3519071;Interior;Hortolândia;7397;166;;
3519105;Interior;Iacanga;316;5;;
3519204;Interior;Iacri;68;0;;
3519253;Interior;Iaras;77;3;;
3519303;Interior;Ibaté;482;6;;
3519402;Interior;Ibirá;462;13;;
3519501;Interior;Ibirarema;173;5;;
3519600;Interior;Ibitinga;1875;49;;
3519709;Interior;Ibiúna;511;31;;
3519808;Interior;Icém;205;3;;
3519907;Interior;Iepê;120;5;;
3520004;Interior;Igaraçu do Tietê;501;15;;
3520103;Interior;Igarapava;723;29;;
3520202;Interior;Igaratá;967;8;;
3520301;Interior;Iguape;684;16;;
3520400;Interior;Ilhabela;2342;14;;
3520426;Interior;Ilha Comprida;192;8;;
3520442;Interior;Ilha Solteira;520;17;;
3520509;Interior;Indaiatuba;7726;254;;
3520608;Interior;Indiana;159;4;;
3520707;Interior;Indiaporã;42;0;;
3520806;Interior;Inúbia Paulista;30;1;;
3520905;Interior;Ipaussu;361;4;;
3521002;Interior;Iperó;314;5;;
3521101;Interior;Ipeúna;147;1;;
3521150;Interior;Ipiguá;318;8;;
3521200;Interior;Iporanga;87;1;;
3521309;Interior;Ipuã;626;23;;
3521408;Interior;Iracemápolis;1359;18;;
3521507;Interior;Irapuã;175;4;;
3521606;Interior;Irapuru;111;2;;
3521705;Interior;Itaberá;306;3;;
3521804;Interior;Itaí;180;2;;
3521903;Interior;Itajobi;512;11;;
3522000;Interior;Itaju;192;1;;
3522109;Interior;Itanhaém;1881;90;;
3522158;Interior;Itaoca;40;0;;
3522208;RMSP (exceto capital);Itapecerica da Serra;3075;182;;
3522307;Interior;Itapetininga;3061;71;;
3522406;Interior;Itapeva;1185;24;;
3522505;RMSP (exceto capital);Itapevi;3770;246;;
3522604;Interior;Itapira;2081;51;;
3522653;Interior;Itapirapuã Paulista;69;1;;
3522703;Interior;Itápolis;634;12;;
3522802;Interior;Itaporanga;258;7;;
3522901;Interior;Itapuí;393;5;;
3523008;Interior;Itapura;86;1;;
3523107;RMSP (exceto capital);Itaquaquecetuba;5057;327;;
3523206;Interior;Itararé;749;26;;
3523305;Interior;Itariri;485;10;;
3523404;Interior;Itatiba;2338;32;;
3523503;Interior;Itatinga;351;7;;
3523602;Interior;Itirapina;402;8;;
3523701;Interior;Itirapuã;57;1;;
3523800;Interior;Itobi;451;6;;
3523909;Interior;Itu;4251;113;;
3524006;Interior;Itupeva;2125;36;;
3524105;Interior;Ituverava;663;31;;
3524204;Interior;Jaborandi;155;3;;
3524303;Interior;Jaboticabal;923;51;;
3524402;Interior;Jacareí;4485;166;;
3524501;Interior;Jaci;375;7;;
3524600;Interior;Jacupiranga;549;18;;
3524709;Interior;Jaguariúna;1372;31;;
3524808;Interior;Jales;2249;65;;
3524907;Interior;Jambeiro;95;5;;
3525003;RMSP (exceto capital);Jandira;1995;106;;
3525102;Interior;Jardinópolis;1023;53;;
3525201;Interior;Jarinu;527;24;;
3525300;Interior;Jaú;3851;84;;
3525409;Interior;Jeriquara;71;0;;
3525508;Interior;Joanópolis;168;3;;
3525607;Interior;João Ramalho;129;3;;
3525706;Interior;José Bonifácio;1440;23;;
3525805;Interior;Júlio Mesquita;35;2;;
3525854;Interior;Jumirim;96;1;;
3525904;Interior;Jundiaí;15445;446;;
3526001;Interior;Junqueirópolis;279;8;;
3526100;Interior;Juquiá;487;13;;
3526209;RMSP (exceto capital);Juquitiba;1193;17;;
3526308;Interior;Lagoinha;75;1;;
3526407;Interior;Laranjal Paulista;980;7;;
3526506;Interior;Lavínia;462;2;;
3526605;Interior;Lavrinhas;68;1;;
3526704;Interior;Leme;3090;80;;
3526803;Interior;Lençóis Paulista;3279;52;;
3526902;Interior;Limeira;10509;285;;
3527009;Interior;Lindóia;113;3;;
3527108;Interior;Lins;3227;50;;
3527207;Interior;Lorena;1302;33;;
3527256;Interior;Lourdes;67;1;;
3527306;Interior;Louveira;1078;26;;
3527405;Interior;Lucélia;116;7;;
3527504;Interior;Lucianópolis;15;0;;
3527603;Interior;Luís Antônio;353;10;;
3527702;Interior;Luiziânia;98;2;;
3527801;Interior;Lupércio;39;0;;
3527900;Interior;Lutécia;8;0;;
3528007;Interior;Macatuba;959;12;;
3528106;Interior;Macaubal;110;4;;
3528205;Interior;Macedônia;104;4;;
3528304;Interior;Magda;50;2;;
3528403;Interior;Mairinque;732;21;;
3528502;RMSP (exceto capital);Mairiporã;2352;73;;
3528601;Interior;Manduri;154;0;;
3528700;Interior;Marabá Paulista;61;1;;
3528809;Interior;Maracaí;196;1;;
3528858;Interior;Marapoama;85;3;;
3528908;Interior;Mariápolis;40;0;;
3529005;Interior;Marília;5222;88;;
3529104;Interior;Marinópolis;61;1;;
3529203;Interior;Martinópolis;406;14;;
3529302;Interior;Matão;1062;31;;
3529401;RMSP (exceto capital);Mauá;9904;419;;
3529500;Interior;Mendonça;182;10;;
3529609;Interior;Meridiano;139;5;;
3529658;Interior;Mesópolis;37;1;;
3529708;Interior;Miguelópolis;591;18;;
3529807;Interior;Mineiros do Tietê;338;7;;
3529906;Interior;Miracatu;450;17;;
3530003;Interior;Mira Estrela;80;1;;
3530102;Interior;Mirandópolis;615;11;;
3530201;Interior;Mirante do Paranapanema;174;6;;
3530300;Interior;Mirassol;2536;60;;
3530409;Interior;Mirassolândia;196;2;;
3530508;Interior;Mococa;1622;36;;
3530607;RMSP (exceto capital);Mogi das Cruzes;10433;496;;
3530706;Interior;Mogi Guaçu;3695;99;;
3530805;Interior;Mogi Mirim;2377;65;;
3530904;Interior;Mombuca;54;1;;
3531001;Interior;Monções;86;3;;
3531100;Interior;Mongaguá;934;24;;
3531209;Interior;Monte Alegre do Sul;77;1;;
3531308;Interior;Monte Alto;1249;41;;
3531407;Interior;Monte Aprazível;805;20;;
3531506;Interior;Monte Azul Paulista;253;2;;
3531605;Interior;Monte Castelo;127;5;;
3531704;Interior;Monteiro Lobato;80;2;;
3531803;Interior;Monte Mor;1736;34;;
3531902;Interior;Morro Agudo;1350;26;;
3532009;Interior;Morungaba;158;3;;
3532058;Interior;Motuca;72;3;;
3532108;Interior;Murutinga do Sul;70;4;;
3532157;Interior;Nantes;52;1;;
3532207;Interior;Narandiba;149;5;;
3532306;Interior;Natividade da Serra;35;1;;
3532405;Interior;Nazaré Paulista;308;5;;
3532504;Interior;Neves Paulista;297;7;;
3532603;Interior;Nhandeara;263;9;;
3532702;Interior;Nipoã;123;2;;
3532801;Interior;Nova Aliança;296;4;;
3532827;Interior;Nova Campina;92;4;;
3532843;Interior;Nova Canaã Paulista;79;2;;
3532868;Interior;Nova Castilho;21;2;;
3532900;Interior;Nova Europa;324;3;;
3533007;Interior;Nova Granada;1121;23;;
3533106;Interior;Nova Guataporanga;35;0;;
3533205;Interior;Nova Independência;96;1;;
3533254;Interior;Novais;199;8;;
3533304;Interior;Nova Luzitânia;98;2;;
3533403;Interior;Nova Odessa;1623;62;;
3533502;Interior;Novo Horizonte;1365;31;;
3533601;Interior;Nuporanga;127;2;;
3533700;Interior;Ocauçu;41;0;;
3533809;Interior;Óleo;6;0;;
3533908;Interior;Olímpia;2846;72;;
3534005;Interior;Onda Verde;254;4;;
3534104;Interior;Oriente;95;4;;
3534203;Interior;Orindiúva;329;5;;
3534302;Interior;Orlândia;1160;40;;
3534401;RMSP (exceto capital);Osasco;17126;907;;
3534500;Interior;Oscar Bressane;31;0;;
3534609;Interior;Osvaldo Cruz;350;11;;
3534708;Interior;Ourinhos;2460;48;;
3534757;Interior;Ouroeste;355;6;;
3534807;Interior;Ouro Verde;75;0;;
3534906;Interior;Pacaembu;396;9;;
3535002;Interior;Palestina;156;7;;
3535101;Interior;Palmares Paulista;432;15;;
3535200;Interior;Palmeira d'Oeste;252;6;;
3535309;Interior;Palmital;547;9;;
3535408;Interior;Panorama;154;7;;
3535507;Interior;Paraguaçu Paulista;780;17;;
3535606;Interior;Paraibuna;212;11;;
3535705;Interior;Paraíso;173;4;;
3535804;Interior;Paranapanema;257;3;;
3535903;Interior;Paranapuã;135;6;;
3536000;Interior;Parapuã;130;4;;
3536109;Interior;Pardinho;236;1;;
3536208;Interior;Pariquera-Açu;902;17;;
3536257;Interior;Parisi;125;6;;
3536307;Interior;Patrocínio Paulista;199;8;;
3536406;Interior;Paulicéia;73;2;;
3536505;Interior;Paulínia;5995;90;;
3536570;Interior;Paulistânia;12;0;;
3536604;Interior;Paulo de Faria;224;3;;
3536703;Interior;Pederneiras;1025;19;;
3536802;Interior;Pedra Bela;104;1;;
3536901;Interior;Pedranópolis;75;2;;
3537008;Interior;Pedregulho;101;2;;
3537107;Interior;Pedreira;667;11;;
3537156;Interior;Pedrinhas Paulista;28;1;;
3537206;Interior;Pedro de Toledo;103;7;;
3537305;Interior;Penápolis;1620;41;;
3537404;Interior;Pereira Barreto;404;9;;
3537503;Interior;Pereiras;246;1;;
3537602;Interior;Peruíbe;1407;49;;
3537701;Interior;Piacatu;135;1;;
3537800;Interior;Piedade;1076;43;;
3537909;Interior;Pilar do Sul;367;9;;
3538006;Interior;Pindamonhangaba;2863;56;;
3538105;Interior;Pindorama;636;17;;
3538204;Interior;Pinhalzinho;162;2;;
3538303;Interior;Piquerobi;47;0;;
3538501;Interior;Piquete;174;3;;
3538600;Interior;Piracaia;576;6;;
3538709;Interior;Piracicaba;16696;391;;
3538808;Interior;Piraju;319;8;;
3538907;Interior;Pirajuí;712;10;;
3539004;Interior;Pirangi;395;16;;
3539103;RMSP (exceto capital);Pirapora do Bom Jesus;702;8;;
3539202;Interior;Pirapozinho;1088;23;;
3539301;Interior;Pirassununga;1933;36;;
3539400;Interior;Piratininga;369;11;;
3539509;Interior;Pitangueiras;1469;35;;
3539608;Interior;Planalto;212;3;;
3539707;Interior;Platina;73;0;;
3539806;RMSP (exceto capital);Poá;2548;123;;
3539905;Interior;Poloni;105;3;;
3540002;Interior;Pompéia;194;4;;
3540101;Interior;Pongaí;128;6;;
3540200;Interior;Pontal;1634;53;;
3540259;Interior;Pontalinda;80;5;;
3540309;Interior;Pontes Gestal;145;4;;
3540408;Interior;Populina;66;3;;
3540507;Interior;Porangaba;68;0;;
3540606;Interior;Porto Feliz;1590;19;;
3540705;Interior;Porto Ferreira;1420;39;;
3540754;Interior;Potim;354;8;;
3540804;Interior;Potirendaba;700;12;;
3540853;Interior;Pracinha;96;0;;
3540903;Interior;Pradópolis;818;23;;
3541000;Interior;Praia Grande;8917;297;;
3541059;Interior;Pratânia;66;2;;
3541109;Interior;Presidente Alves;87;2;;
3541208;Interior;Presidente Bernardes;416;12;;
3541307;Interior;Presidente Epitácio;648;21;;
3541406;Interior;Presidente Prudente;7195;171;;
3541505;Interior;Presidente Venceslau;624;26;;
3541604;Interior;Promissão;2017;15;;
3541653;Interior;Quadra;64;2;;
3541703;Interior;Quatá;261;4;;
3541802;Interior;Queiroz;34;2;;
3541901;Interior;Queluz;360;3;;
3542008;Interior;Quintana;80;1;;
3542107;Interior;Rafard;230;3;;
3542206;Interior;Rancharia;1075;16;;
3542305;Interior;Redenção da Serra;24;0;;
3542404;Interior;Regente Feijó;207;8;;
3542503;Interior;Reginópolis;125;2;;
3542602;Interior;Registro;1860;49;;
3542701;Interior;Restinga;83;0;;
3542800;Interior;Ribeira;69;0;;
3542909;Interior;Ribeirão Bonito;382;8;;
3543006;Interior;Ribeirão Branco;297;6;;
3543105;Interior;Ribeirão Corrente;78;1;;
3543204;Interior;Ribeirão do Sul;66;1;;
3543238;Interior;Ribeirão dos Índios;39;3;;
3543253;Interior;Ribeirão Grande;172;3;;
3543303;RMSP (exceto capital);Ribeirão Pires;2728;89;;
3543402;Interior;Ribeirão Preto;28874;911;;
3543501;Interior;Riversul;21;2;;
3543600;Interior;Rifaina;54;3;;
3543709;Interior;Rincão;115;4;;
3543808;Interior;Rinópolis;104;0;;
3543907;Interior;Rio Claro;4568;149;;
3544004;Interior;Rio das Pedras;807;38;;
3544103;RMSP (exceto capital);Rio Grande da Serra;794;30;;
3544202;Interior;Riolândia;363;3;;
3544251;Interior;Rosana;238;4;;
3544301;Interior;Roseira;276;5;;
3544400;Interior;Rubiácea;51;0;;
3544509;Interior;Rubinéia;87;2;;
3544608;Interior;Sabino;97;7;;
3544707;Interior;Sagres;10;0;;
3544806;Interior;Sales;92;4;;
3544905;Interior;Sales Oliveira;485;4;;
3545001;RMSP (exceto capital);Salesópolis;286;18;;
3545100;Interior;Salmourão;26;1;;
3545159;Interior;Saltinho;179;2;;
3545209;Interior;Salto;3512;81;;
3545308;Interior;Salto de Pirapora;1195;28;;
3545407;Interior;Salto Grande;156;2;;
3545506;Interior;Sandovalina;93;3;;
3545605;Interior;Santa Adélia;410;5;;
3545704;Interior;Santa Albertina;220;2;;
3545803;Interior;Santa Bárbara d'Oeste;6921;198;;
3546009;Interior;Santa Branca;241;7;;
3546108;Interior;Santa Clara d'Oeste;73;5;;
3546207;Interior;Santa Cruz da Conceição;149;0;;
3546256;Interior;Santa Cruz da Esperança;22;2;;
3546306;Interior;Santa Cruz das Palmeiras;1511;24;;
3546405;Interior;Santa Cruz do Rio Pardo;933;10;;
3546504;Interior;Santa Ernestina;177;3;;
3546603;Interior;Santa Fé do Sul;1241;41;;
3546702;Interior;Santa Gertrudes;1075;19;;
3546801;RMSP (exceto capital);Santa Isabel;1671;78;;
3546900;Interior;Santa Lúcia;119;5;;
3547007;Interior;Santa Maria da Serra;131;1;;
3547106;Interior;Santa Mercedes;12;1;;
3547205;Interior;Santana da Ponte Pensa;18;0;;
3547304;RMSP (exceto capital);Santana de Parnaíba;4414;118;;
3547403;Interior;Santa Rita d'Oeste;40;1;;
3547502;Interior;Santa Rita do Passa Quatro;407;14;;
3547601;Interior;Santa Rosa de Viterbo;457;5;;
3547650;Interior;Santa Salete;63;3;;
3547700;Interior;Santo Anastácio;374;12;;
3547809;RMSP (exceto capital);Santo André;24338;722;;
3547908;Interior;Santo Antônio da Alegria;155;3;;
3548005;Interior;Santo Antônio de Posse;804;11;;
3548054;Interior;Santo Antônio do Aracanguá;175;6;;
3548104;Interior;Santo Antônio do Jardim;89;3;;
3548203;Interior;Santo Antônio do Pinhal;87;3;;
3548302;Interior;Santo Expedito;43;1;;
3548401;Interior;Santópolis do Aguapeí;104;4;;
3548500;Interior;Santos;28881;835;;
3548609;Interior;São Bento do Sapucaí;88;1;;
3548708;RMSP (exceto capital);São Bernardo do Campo;30904;1118;;
3548807;RMSP (exceto capital);São Caetano do Sul;6696;276;;
3548906;Interior;São Carlos;4638;65;;
3549003;Interior;São Francisco;69;5;;
3549102;Interior;São João da Boa Vista;1101;29;;
3549201;Interior;São João das Duas Pontes;79;3;;
3549250;Interior;São João de Iracema;46;3;;
3549300;Interior;São João do Pau d'Alho;6;0;;
3549409;Interior;São Joaquim da Barra;1409;31;;
3549508;Interior;São José da Bela Vista;51;4;;
3549607;Interior;São José do Barreiro;23;2;;
3549706;Interior;São José do Rio Pardo;872;26;;
3549805;Interior;São José do Rio Preto;32416;834;;
3549904;Interior;São José dos Campos;21929;504;;
3549953;RMSP (exceto capital);São Lourenço da Serra;287;8;;
3550001;Interior;São Luiz do Paraitinga;18;5;;
3550100;Interior;São Manuel;420;12;;
3550209;Interior;São Miguel Arcanjo;310;9;;
3550308;Capital;São Paulo;365670;14805;;
3550407;Interior;São Pedro;851;11;;
3550506;Interior;São Pedro do Turvo;158;1;;
3550605;Interior;São Roque;1311;28;;
3550704;Interior;São Sebastião;2222;44;;
3550803;Interior;São Sebastião da Grama;224;5;;
3550902;Interior;São Simão;224;6;;
3551009;Interior;São Vicente;8612;499;;
3551108;Interior;Sarapuí;30;1;;
3551207;Interior;Sarutaiá;64;3;;
3551306;Interior;Sebastianópolis do Sul;77;0;;
3551405;Interior;Serra Azul;733;4;;
3551504;Interior;Serrana;1357;47;;
3551603;Interior;Serra Negra;323;2;;
3551702;Interior;Sertãozinho;5298;123;;
3551801;Interior;Sete Barras;545;11;;
3551900;Interior;Severínia;783;19;;
3552007;Interior;Silveiras;52;1;;
3552106;Interior;Socorro;769;12;;
3552205;Interior;Sorocaba;20426;508;;
3552304;Interior;Sud Mennucci;280;1;;
3552403;Interior;Sumaré;7532;234;;
3552502;RMSP (exceto capital);Suzano;6771;266;;
3552551;Interior;Suzanápolis;142;2;;
