Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;
3556404;Interior;Vargem Grande do Sul;1130;22;;
3556453;RMSP (exceto capital);Vargem Grande Paulista;738;30;;
3556503;Interior;Várzea Paulista;1995;77;;
3556602;Interior;Vera Cruz;163;8;;
3556701;Interior;Vinhedo;2505;44;;
3556800;Interior;Viradouro;574;9;;
3556909;Interior;Vista Alegre do Alto;228;3;;
3556958;Interior;Vitória Brasil;39;0;;
3557006;Interior;Votorantim;3092;99;;
3557105;Interior;Votuporanga;6163;116;;
3557154;Interior;Zacarias;126;1;;
3557204;Interior;Chavantes;202;2;;
3557303;Interior;Estiva Gerbi;174;5;;
;;Ignorado;205;0;;
